APPID,game_name,TARGET_GENRE,user_tags,genres_store,engine,network,update,business model
2139460,Once Human,Adventure,"Free to Play, Survival, Open World Survival Craft, Multiplayer, Co-op, Adventure, Post-apocalyptic, Base Building, Open World, Massively Multiplayer, Third Person, PvP, Horror, Online Co-Op, Shooter, Singleplayer, RPG, Action-Adventure, Simulation, MMORPG","액션, 어드벤처, RPG, 시뮬레이션, 전략, 무료 플레이",NeoX Engine,MMO,주간,"시즌패스, 가챠"
3241660,R.E.P.O.,Adventure,"Horror, Online Co-Op, Multiplayer, Comedy, Co-op, Physics, First-Person, 3D, Stealth, Survival, Robots, Action, Exploration, Procedural Generation, Action Roguelike, Funny, Post-apocalyptic, Sci-fi, Perma Death, Early Access","액션, 앞서 해보기",Unity,Fixed-Player Co-op,월간,단일구매
3527290,PEAK,Adventure,"Multiplayer, Online Co-Op, Co-op, Physics, Exploration, Adventure, First-Person, Comedy, Procedural Generation, 3D, Atmospheric, Action Roguelike, Time Management, Action, Character Customization, Horror, Platformer, Mystery, Investigation, Survival Horror","액션, 어드벤처, 인디",Unity,Fixed-Player Co-op,불규칙,단일구매
1973530,Limbus Company,RPG,"Story Rich, Lore-Rich, Free to Play, Turn-Based Combat, Turn-Based Tactics, Visual Novel, Singleplayer, RPG, Strategy, Strategy RPG, Great Soundtrack, Anime, Turn-Based Strategy, PvE, Dark Fantasy, 2D, Action, Sci-fi, Roguelite, Colorful",,Unity,Singleplayer,주간,"시즌패스, 가챠"
1974050,Torchlight: Infinite,RPG,"RPG, Hack and Slash, Loot, Action RPG, Action, Multiplayer, Adventure, Dungeon Crawler, Free to Play, Combat, Top-Down, Action-Adventure, Singleplayer, Fantasy, Drama, Story Rich, Character Customization, Co-op, Time Travel, Magic","액션, 어드벤처, RPG, 무료 플레이",UE4,Cross Platform Multiplayer,시즌,"시즌패스, 가챠"
2444750,Shape of Dreams,RPG,"Action Roguelike, Co-op, Roguelite, Hack and Slash, Dungeon Crawler, Multiplayer, PvE, Indie, Online Co-Op, Replay Value, Difficult, Fast-Paced, Singleplayer, Fantasy, Action, Top-Down, Action RPG, Stylized, RPG, Character Customization","액션, 어드벤처, 인디, RPG",Unity,Central Sync Server,불규칙,단일구매
2246340,Monster Hunter Wilds,Package,"Hunting, Action, Multiplayer, Online Co-Op, Co-op, Character Customization, Dragons, Dating Sim, Open World, Third Person, Action RPG, Adventure, Fantasy, RPG, Cute, Singleplayer, Atmospheric, Great Soundtrack, Underwater, Souls-like","액션, 어드벤처, RPG",RE Engine,Cross Platform Multiplayer,불규칙,시리즈작
3489700,Stellar Blade™,Package,"Female Protagonist, Action, Hack and Slash, Souls-like, Sexual Content, Singleplayer, Third Person, Action RPG, Post-apocalyptic, Adventure, Action-Adventure, Combat, Futuristic, 3D, Story Rich, Multiple Endings, Dystopian, Quick-Time Events, Stylized, Experience","액션, 어드벤처, RPG",UE4,Singleplayer,불규칙,단일구매
1903340,Clair Obscur: Expedition 33,Package,"Turn-Based Combat, Story Rich, Fantasy, RPG, Great Soundtrack, Singleplayer, JRPG, Exploration, Lore-Rich, Adventure, Party-Based RPG, Souls-like, Dark Fantasy, Action RPG, 3D, Character Customization, Post-apocalyptic, Narration, Action, Realistic","액션, RPG",UE5,Singleplayer,불규칙,단일구매
2507950,Delta Force,Action,"Free to Play, FPS, Extraction Shooter, Singleplayer, Massively Multiplayer, Co-op, Shooter, Action, PvP, Multiplayer, First-Person, PvE, Gun Customization, Looter Shooter, Online Co-Op, Tactical, Military, Hero Shooter, Co-op Campaign, Team-Based","액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이",UE5,MMO,주간,단일구매
2074920,The First Descendant,Action,"Free to Play, Sexual Content, Looter Shooter, Multiplayer, Third-Person Shooter, Online Co-Op, RPG, Action, Shooter, Third Person, Action RPG, Character Customization, Singleplayer, Co-op, PvE, Adventure, Sci-fi, Combat, Story Rich, Nudity","액션, 어드벤처, RPG, 무료 플레이",UE5,Cross Platform Multiplayer,월간,"시즌패스, 가챠"
2807960,Battlefield™ 6,Action,"FPS, Multiplayer, Action, Singleplayer, Military, Shooter, War, Modern, Combat, Epic, Realistic, Battle Royale, Tactical, Destruction, PvP, Violent, Atmospheric, Co-op, Sandbox, Story Rich",액션,Frostbite Engine,Cross Platform Multiplayer,시즌,"시리즈작, 시즌패스"
2456740,inZOI,Simulation,"Life Sim, Character Customization, Simulation, Realistic, Singleplayer, Building, Family Friendly, Romance, Sandbox, Immersive Sim, Dating Sim, Modern, Cats, City Builder, Relaxing, Moddable, Casual, Cute, Early Access, Sexual Content","어드벤처, 캐주얼, 시뮬레이션, 앞서 해보기",UE5,Singleplayer,월간,단일구매
1295660,Sid Meier's Civilization VII,Simulation,"Grand Strategy, Historical, 4X, Military, Simulation, Diplomacy, Multiplayer, Strategy, Economy, City Builder, Turn-Based Tactics, War, Tactical, Singleplayer, Alternate History, Hex Grid, Turn-Based Strategy, Political Sim, Stylized, PvP","시뮬레이션, 전략",Lore Engine,Cross Platform Multiplayer,월간,시리즈작
3450310,Europa Universalis V,Simulation,"Grand Strategy, Resource Management, 4X, Strategy, Trading, Historical, Multiplayer, Simulation, Alternate History, Wargame, Economy, Diplomacy, Immersive Sim, 3D, Realistic, War, Cinematic, Singleplayer, Building, Choices Matter",전략,Clausewitz Engine,Central Sync Server,불규칙,시리즈작
3314790,CloverPit,Table,"Gambling, Roguelite, Roguelike, Psychological Horror, Strategy, Dark Humor, First-Person, Horror, 3D, Psychological, Dark, Singleplayer, Indie, Surreal, Resource Management, Multiple Endings, Simulation, Adventure, Action, Retro","액션, 어드벤처, 인디, 시뮬레이션, 스포츠, 전략",Unity,Singleplayer,불규칙,단일구매
2739990,Mahjong Soul,Table,"Mahjong, Strategy, Free to Play, Casual, Anime, Board Game, Real Time Tactics, Tabletop, Cute, Relaxing, Fantasy, Multiplayer, Tactical, Card Game, PvP, Colorful, Gaming, Sexual Content, Horror, Hentai","캐주얼, 전략",Unity,Cross Platform Multiplayer,월간,스킨 가챠
2584990,Shadowverse: Worlds Beyond,Table,"Free to Play, Card Battler, Trading Card Game, Deckbuilding, PvP, Competitive, Strategy, Turn-Based, Card Game, Character Customization, Sexual Content, Multiplayer, Singleplayer, Casual, RPG, Anime, JRPG, Cute, Fantasy, Psychological Horror","캐주얼, RPG, 전략, 무료 플레이",Unity,Cross Platform Multiplayer,불규칙,"시즌패스, 가챠"
